"RSTK__SYACC_DIV__C","RSTK__SYACC_MFGACCT__C","RSTK__SYACC_DESCR__C","RSTK__SYACC_GLTYPE_PL__C","RSTK__SYACC_SYQBCOA__C","RSTK__SYACC_GLXREFACCT__C"
"a8C8Y000000CurfUAC","1420","Subcontract PO  WIP","POSUBWIP","","aAO8Y000000OIgPWAW"
"a8C8Y000000CurfUAC","5170","Labor Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIhJWAW"
"a8C8Y000000CurfUAC","5175","Labor OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIhKWAW"
"a8C8Y000000CurfUAC","5180","Machine OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIhLWAW"
"a8C8Y000000CurfUAC","5185","Fringe OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIhEWAW"
"a8C8Y000000CurfUAC","1425","Inventory - Finished Goods","Inventory","","aAO8Y000000OIgQWAW"
"a8C8Y000000CurfUAC","7350","Shipping Clearing","Cost of Sales Clearing","","aAO8Y000000OIgRWAW"
"a8C8Y000000CurfUAC","2005","Accrued Accounts Payable","Accrued AP","","aAO8Y000000OIghWAG"
"a8C8Y000000CurfUAC","2135","Sales Tax Payable","Liability Accounts","","aAO8Y000000OIgqWAG"
"a8C8Y000000CurfUAC","4000","Product Revenue","Revenue","","aAO8Y000000OIh4WAG"
"a8C8Y000000CurfUAC","4200","Service Revenue","Revenue","","aAO8Y000000OIh7WAG"
"a8C8Y000000CurfUAC","5000","Product COGS","Cost of Sales","","aAO8Y000000OIh9WAG"
"a8C8Y000000CurfUAC","5100-1","Inventory, Scrap","General Scrap","","aAO8Y000000OIhAWAW"
"a8C8Y000000CurfUAC","5105","Inventory Adjustment","Inventory Adjustment","","aAO8Y000000OIceWAG"
"a8C8Y000000CurfUAC","5130","PO-Invoice Price Variance","Variance","","aAO8Y000000OIhCWAW"
"a8C8Y000000CurfUAC","5110","Purchase Price Variance (PPV)","PPV","","aAO8Y000000OIhBWAW"
"a8C8Y000000CurfUAC","5165","Material Overhead Clearing","OTH Clearing","","aAO8Y000000OIhHWAW"
"a8C8Y000000CurfUAC","5125","Negative Variance Acct","Inventory Negative Variance","","aAO8Y000000OIgAWAW"
"a8C8Y000000CurfUAC","5190","General MFG Expense","Expense","","aAO8Y000000OIcfWAG"
"a8C8Y000000CurfUAC","5150","Work Order/Subcontract Variance","WO/Subc PO Variance","","aAO8Y000000OIhGWAW"
"a8C8Y000000CurfUAC","5100-2","Work Order Scrap","General Scrap","","aAO8Y000000OIhAWAW"
"a8C8Y000000CurfUAC","5135","Invoice - Receipt Quantity Variance","Variance","","aAO8Y000000OIgBWAW"
"a8C8Y000000CurfUAC","5140","Standards Variance","Standards Change Variance","","aAO8Y000000OIhDWAW"
